Unnamed: 0,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,conformity,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index,connections_per_step,Modularity
6,8.09375,0.8203125,0.04296875,2,2.37109375,0.42578125,6,2.053054916,1.672066866,0.567909466,0,,
7,6.90625,0.8203125,0.04296875,2,2.37109375,0.42578125,7,2.053054916,1.672066866,0.567909466,0,,
8,8.09375,9.9609375,0.04296875,2,2.37109375,0.42578125,8,1.415494578,1.325227771,0.026537098,0,,
9,8.09375,0.8203125,0.85546875,2,2.37109375,0.42578125,9,2.018779509,1.652901499,0.542764209,0,,
10,6.09375,7.4609375,0.79296875,3,4.62109375,0.17578125,10,2.018779509,1.652901499,0.542764209,1,,
11,6.09375,8.3203125,0.60546875,3,4.62109375,0.17578125,11,2.018779509,1.652901499,0.542764209,1,,
12,6.09375,8.3203125,0.79296875,2,4.62109375,0.17578125,12,2.018779509,1.652901499,0.542764209,1,,
13,6.09375,8.3203125,0.79296875,3,3.14453125,0.17578125,13,2.018779509,1.652901499,0.542764209,1,,
14,6.09375,8.3203125,0.79296875,3,4.62109375,0.23828125,14,2.018779509,1.652901499,0.542764209,1,,
15,4.90625,7.4609375,0.60546875,2,3.14453125,0.23828125,15,2.018779509,1.652901499,0.542764209,1,,
16,8.09375,0.8203125,0.04296875,2,2.37109375,0.42578125,16,1.88936835,1.586097007,0.554373548,1,,
17,6.90625,0.8203125,0.04296875,2,2.37109375,0.42578125,17,1.415494578,1.325227771,0.026537098,1,,
18,8.09375,9.9609375,0.04296875,2,2.37109375,0.42578125,18,1.713695064,1.438413425,0.024566522,1,,
19,8.09375,0.8203125,0.85546875,2,2.37109375,0.42578125,19,1.91513489,1.496555333,0.511887032,1,,
20,6.09375,7.4609375,0.79296875,3,4.62109375,0.17578125,20,1.713695064,1.438413425,0.024566522,2,,
21,6.09375,8.3203125,0.60546875,3,4.62109375,0.17578125,21,1.415494578,1.325227771,0.026537098,2,,
22,6.09375,8.3203125,0.79296875,2,4.62109375,0.17578125,22,2.018779509,1.652901499,0.542764209,2,,
23,6.09375,8.3203125,0.79296875,3,3.14453125,0.17578125,23,2.018779509,1.652901499,0.542764209,2,,
24,6.09375,8.3203125,0.79296875,3,4.62109375,0.23828125,24,1.91513489,1.496555333,0.511887032,2,,
25,4.90625,7.4609375,0.60546875,2,3.14453125,0.23828125,25,1.91513489,1.496555333,0.511887032,2,,
26,8.09375,0.8203125,0.04296875,2,2.37109375,0.42578125,26,1.99343546,1.645238519,0.526360859,2,,
27,6.90625,0.8203125,0.04296875,2,2.37109375,0.42578125,27,2.053054916,1.672066866,0.567909466,2,,
28,8.09375,9.9609375,0.04296875,2,2.37109375,0.42578125,28,1.540708427,1.136117896,0.027291059,2,,
29,8.09375,0.8203125,0.85546875,2,2.37109375,0.42578125,29,2.07236431,1.71478131,0.590180461,2,,
30,6.09375,7.4609375,0.79296875,3,4.62109375,0.17578125,30,2.053054916,1.672066866,0.567909466,3,,
31,6.09375,8.3203125,0.60546875,3,4.62109375,0.17578125,31,1.713695064,1.438413425,0.024566522,3,,
32,6.09375,8.3203125,0.79296875,2,4.62109375,0.17578125,32,1.88936835,1.586097007,0.554373548,3,,
33,6.09375,8.3203125,0.79296875,3,3.14453125,0.17578125,33,1.88936835,1.586097007,0.554373548,3,,
34,6.09375,8.3203125,0.79296875,3,4.62109375,0.23828125,34,2.053054916,1.672066866,0.567909466,3,,
35,4.90625,7.4609375,0.60546875,2,3.14453125,0.23828125,35,2.053054916,1.672066866,0.567909466,3,,
36,8.09375,0.8203125,0.04296875,2,2.37109375,0.42578125,36,1.755047326,1.404666081,0.481064567,3,,
37,6.90625,0.8203125,0.04296875,2,2.37109375,0.42578125,37,1.713695064,1.438413425,0.024566522,3,,
38,8.09375,9.9609375,0.04296875,2,2.37109375,0.42578125,38,1.676038903,1.28441232,0.024319383,3,,
39,8.09375,0.8203125,0.85546875,2,2.37109375,0.42578125,39,2.047190229,1.676648492,0.546768348,3,,
40,6.09375,7.4609375,0.79296875,3,4.62109375,0.17578125,40,2.053054916,1.672066866,0.567909466,4,,
41,6.09375,8.3203125,0.60546875,3,4.62109375,0.17578125,41,1.540708427,1.136117896,0.027291059,4,,
42,6.09375,8.3203125,0.79296875,2,4.62109375,0.17578125,42,2.07236431,1.71478131,0.590180461,4,,
43,6.09375,8.3203125,0.79296875,3,3.14453125,0.17578125,43,2.018779509,1.652901499,0.542764209,4,,
44,6.09375,8.3203125,0.79296875,3,4.62109375,0.23828125,44,2.018779509,1.652901499,0.542764209,4,,
45,4.90625,7.4609375,0.60546875,2,3.14453125,0.23828125,45,2.018779509,1.652901499,0.542764209,4,,
46,8.09375,0.8203125,0.04296875,2,2.37109375,0.42578125,46,1.832888439,1.524998203,0.495775914,4,,
47,6.90625,0.8203125,0.04296875,2,2.37109375,0.42578125,47,2.018779509,1.652901499,0.542764209,4,,
48,8.09375,9.9609375,0.04296875,2,2.37109375,0.42578125,48,1.545661527,1.271818027,0.025797987,4,,
