Unnamed: 0,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,happiness_threshold,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index,connections_per_step,Modularity
5,1.984375,3.0234375,0.80859375,,0.203125,0.07421875,2.0,,0.2367316599619221,1.4282016590865303,1.7456840462486052,,
10,1.265625,3.0234375,0.80859375,,0.203125,0.07421875,2.0,,0.1510980347374997,1.449790447268792,1.7643139798076646,,
47,0.765625,0.7734375,0.68359375,,0.703125,0.19921875,2.0,,0.1210280640349937,0.3383235961815057,0.4077234635307678,,
41,1.484375,0.7734375,0.68359375,,0.703125,0.19921875,3.0,,0.4517779050395669,1.0819166246075849,1.3859413505954676,,
23,1.984375,3.0234375,0.13671875,,0.203125,0.07421875,3.0,,0.2055964896230588,1.3852826204669717,1.7736571285699303,,
88,3.484375,3.0234375,0.18359375,,2.703125,0.69921875,3.0,,0.0027085123478126,0.2820072182331242,0.3624875688621444,,
48,0.765625,0.7734375,0.68359375,,0.703125,0.19921875,3.0,,0.1220227741340561,0.3096217490029231,0.3333758830621608,,
52,1.484375,0.0234375,0.68359375,,0.703125,0.19921875,3.0,,0.589808984514062,0.2410273661190767,0.2636221679806488,,
73,0.765625,0.0234375,0.51171875,,3.859375,0.17578125,3.0,,0.704784768092921,0.3170922666228451,0.3630547971021136,,
27,1.984375,3.0234375,0.80859375,,1.359375,0.07421875,3.0,,0.4737343681611571,1.2594546676979064,1.56683324664979,,
11,1.984375,3.0234375,0.80859375,,0.203125,0.07421875,3.0,,0.2148691910169517,1.4529244597711362,1.8508724092447968,,
58,1.484375,0.7734375,0.51171875,,0.703125,0.19921875,3.0,,0.1436050522058751,0.7207070235868357,0.8671607295279928,,
91,3.484375,3.7734375,0.01171875,,2.703125,0.69921875,3.0,,0.0984517937724732,1.437659233264365,1.7468098047094325,,
83,2.765625,3.7734375,0.18359375,,2.703125,0.69921875,3.0,,0.0102690528594234,0.5373902038992554,0.630987033796101,,
33,1.984375,3.0234375,0.80859375,,0.203125,0.80078125,3.0,,0.228381301613738,1.522339034388568,1.8722366682595195,,
81,3.484375,3.7734375,0.18359375,,2.703125,0.69921875,3.0,,0.0043365903626127,0.3821717987444512,0.4436926545938977,,
1,3.265625,0.7734375,0.63671875,,3.359375,0.30078125,3.0,,0.5013715822483465,1.10825630659404,1.359433877444301,,
96,3.484375,3.7734375,0.18359375,,1.859375,0.69921875,3.0,,0.1981300814871312,1.7845587128227938,2.1956075345632358,,
62,1.484375,0.7734375,0.68359375,,3.859375,0.19921875,3.0,,0.0733293898795743,0.5702761520332943,0.6199023473898303,,
39,1.265625,3.7734375,0.13671875,,1.359375,0.80078125,3.0,,0.2301658451645993,1.7517538250657263,2.158461239668449,,
13,1.265625,3.0234375,0.80859375,,0.203125,0.07421875,3.0,,0.163961278418409,1.4261691330080772,1.7892167933212606,,
68,1.484375,0.7734375,0.68359375,,0.703125,0.17578125,3.0,,0.3756512538246834,1.0832222560376747,1.3816800067318629,,
20,1.984375,3.7734375,0.80859375,,0.203125,0.07421875,3.0,,0.1445417740611432,1.4569961190299965,1.786830754281925,,
50,0.765625,0.7734375,0.68359375,,0.703125,0.19921875,4.0,,0.0991545927208312,0.1526581176801551,0.2272997318587538,,
92,3.484375,3.7734375,0.01171875,,2.703125,0.69921875,4.0,,0.1583213210254042,1.5767840782789644,2.0811030112618845,,
3,3.265625,0.7734375,0.63671875,,3.359375,0.30078125,4.0,,0.0746797596371882,0.3248399970154332,0.4402094742046243,,
12,1.984375,3.0234375,0.80859375,,0.203125,0.07421875,4.0,,0.2431220023902929,1.3231579886395992,1.6287594372894634,,
86,2.765625,3.7734375,0.18359375,,2.703125,0.69921875,4.0,,0.0152284935556533,0.4643319104065471,0.6082457388772936,,
74,0.765625,0.0234375,0.51171875,,3.859375,0.17578125,4.0,,0.6476850941253354,0.3365705246452437,0.2954072147158029,,
84,3.484375,3.0234375,0.18359375,,2.703125,0.69921875,4.0,,0.0655408656105746,0.7776532449890352,0.8671370601209915,,
17,1.984375,3.7734375,0.80859375,,0.203125,0.07421875,4.0,,0.2214392547081438,1.683594922738152,2.0669521285834183,,
76,3.484375,3.7734375,0.18359375,,2.703125,0.69921875,4.0,,0.0106805801503329,0.3440256478966244,0.5410864000085601,,
24,1.984375,3.0234375,0.13671875,,0.203125,0.07421875,4.0,,0.2625799373152103,1.463399501214344,1.762602030315369,,
29,1.984375,3.0234375,0.80859375,,1.359375,0.07421875,4.0,,0.2701548229573837,1.7135930527350458,2.0923733345451105,,
